date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:55:35	150/150	---M--	200	added ('OK')	image/gif	etag:%225479417962100%22	http://www.sheng-fa.com.tw/templates/js/libs/fine-uploader/dist/edit.gif	C:/My%20Websites/1/www.sheng-fa.com.tw/templates/js/libs/fine-uploader/dist/edit.gif	(from http://www.sheng-fa.com.tw/templates/js/libs/fine-uploader/dist/fine-uploader-new.min.css)
09:55:36	7436/7436	---M--	200	added ('OK')	image/png	etag:%22516e3e102d600%22	http://www.sheng-fa.com.tw/templates/images/shopping-sprites.png	C:/My%20Websites/1/www.sheng-fa.com.tw/templates/images/shopping-sprites.png	(from http://www.sheng-fa.com.tw/templates/css/common.css)
09:55:36	1588/1588	---M--	200	added ('OK')	image/png	etag:%22516e3e102d600%22	http://www.sheng-fa.com.tw/templates/images/manage/cross.png	C:/My%20Websites/1/www.sheng-fa.com.tw/templates/images/manage/cross.png	(from http://www.sheng-fa.com.tw/templates/css/common.css)
09:55:36	1229/1229	---M--	200	added ('OK')	image/png	etag:%22516e3e102d600%22	http://www.sheng-fa.com.tw/templates/images/toggle.png	C:/My%20Websites/1/www.sheng-fa.com.tw/templates/images/toggle.png	(from http://www.sheng-fa.com.tw/templates/css/common.css)
09:55:36	4016/4016	---M--	200	added ('OK')	image/png	etag:%2255fa83e7bd2c0%22	http://www.sheng-fa.com.tw/templates/images/fans_page.png	C:/My%20Websites/1/www.sheng-fa.com.tw/templates/images/fans_page.png	(from http://www.sheng-fa.com.tw/templates/css/common.css)
09:55:36	2765/2765	---M--	200	added ('OK')	image/png	etag:%22516e3e102d600%22	http://www.sheng-fa.com.tw/templates/images/front-sprite.png	C:/My%20Websites/1/www.sheng-fa.com.tw/templates/images/front-sprite.png	(from http://www.sheng-fa.com.tw/templates/css/common.css)
09:55:38	903/903	---M--	200	added ('OK')	image/svg+xml	etag:%22516e3e102d600%22	http://www.sheng-fa.com.tw/templates/images/side_rwd_arrow.svg	C:/My%20Websites/1/www.sheng-fa.com.tw/templates/images/side_rwd_arrow.svg	(from http://www.sheng-fa.com.tw/templates/css/mobile.css)
09:55:38	318/318	---M--	200	added ('OK')	image/x-icon	etag:%22530e6dda8ecc0%22	http://www.sheng-fa.com.tw/favicon.ico?3695	C:/My%20Websites/1/www.sheng-fa.com.tw/faviconaf1b.ico	(from http://www.sheng-fa.com.tw/about-us.html)
09:55:44	80706/80706	---M--	200	added ('OK')	image/jpeg	etag:%225216664cb9e40%22	http://www.sheng-fa.com.tw/templates/template/21/images/banner.jpg	C:/My%20Websites/1/www.sheng-fa.com.tw/templates/template/21/images/banner.jpg	(from http://www.sheng-fa.com.tw/templates/template/21/css/layout.css)
09:55:44	12142/12142	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Mar%202018%2001:55:43%20GMT	http://www.sheng-fa.com.tw/news-detail-362610.html	C:/My%20Websites/1/www.sheng-fa.com.tw/news-detail-362610.html	(from http://www.sheng-fa.com.tw/about-us.html)
09:55:51	37026/37026	---M--	200	added ('OK')	image/bmp	etag:%224cd2d7c365300%22	http://www.sheng-fa.com.tw/templates/cache/5404/images/508e2dec8160c.bmp	C:/My%20Websites/1/www.sheng-fa.com.tw/templates/cache/5404/images/508e2dec8160c.bmp	(from http://www.sheng-fa.com.tw/about-us.html)
